episode,reward,success,crashed,timed_out,steps,episode_time_s,goal_distance,speed_kmh,dist_to_conflict,final_phase,phase_touch_idx,failure_type,final_goal_distance,low_speed_ratio,in_clear_ratio,near_conflict_ratio,notes
5,-22.314266782844793,False,True,False,74,3.7,16.575607299804688,35.05615438680037,2.562164306640625,CLEAR,13,mixed_failure,16.575607299804688,0.16216216216216217,0.02702702702702703,0.02702702702702703,final_goal_distance=16.576; low_speed_ratio=0.162; in_clear_ratio=0.027; near_conflict_ratio=0.027
6,-22.50756278044311,False,True,False,73,3.6500000000000004,16.823284149169922,29.10038243891079,2.6557464599609375,CLEAR,13,mixed_failure,16.823284149169922,0.1643835616438356,0.0273972602739726,0.0273972602739726,final_goal_distance=16.823; low_speed_ratio=0.164; in_clear_ratio=0.027; near_conflict_ratio=0.027
7,-22.071472183535807,False,True,False,74,3.7,16.44420623779297,32.7278078704515,2.4561309814453125,CLEAR,13,mixed_failure,16.44420623779297,0.16216216216216217,0.04054054054054054,0.04054054054054054,final_goal_distance=16.444; low_speed_ratio=0.162; in_clear_ratio=0.041; near_conflict_ratio=0.041
21,-23.29940040926216,False,True,False,74,3.7,17.476806640625,9.51094011021521,3.2251663208007812,APPROACH_DECIDE,13,mixed_failure,17.476806640625,0.17567567567567569,0.0,0.0,final_goal_distance=17.477; low_speed_ratio=0.176; in_clear_ratio=0.000; near_conflict_ratio=0.000
24,-22.68820837500738,False,True,False,73,3.6500000000000004,16.919095993041992,26.306772629755102,2.78753662109375,CLEAR,13,mixed_failure,16.919095993041992,0.1643835616438356,0.0136986301369863,0.0136986301369863,final_goal_distance=16.919; low_speed_ratio=0.164; in_clear_ratio=0.014; near_conflict_ratio=0.014
42,-22.019678759060373,False,True,False,76,3.8000000000000003,16.321197509765625,12.696371000774235,2.3718643188476562,CLEAR,13,mixed_failure,16.321197509765625,0.17105263157894737,0.039473684210526314,0.039473684210526314,final_goal_distance=16.321; low_speed_ratio=0.171; in_clear_ratio=0.039; near_conflict_ratio=0.039
52,-23.242552642796657,False,True,False,72,3.6,17.41710090637207,7.284147232347363,3.1018905639648438,APPROACH_DECIDE,13,mixed_failure,17.41710090637207,0.16666666666666666,0.0,0.0,final_goal_distance=17.417; low_speed_ratio=0.167; in_clear_ratio=0.000; near_conflict_ratio=0.000
54,-22.421075221873476,False,True,False,74,3.7,16.75347328186035,26.53623069778026,2.6012039184570312,CLEAR,13,mixed_failure,16.75347328186035,0.17567567567567569,0.02702702702702703,0.02702702702702703,final_goal_distance=16.753; low_speed_ratio=0.176; in_clear_ratio=0.027; near_conflict_ratio=0.027
61,-22.36231434756728,False,True,False,74,3.7,16.607757568359375,17.62234692327685,2.5989608764648438,CLEAR,13,mixed_failure,16.607757568359375,0.16216216216216217,0.02702702702702703,0.02702702702702703,final_goal_distance=16.608; low_speed_ratio=0.162; in_clear_ratio=0.027; near_conflict_ratio=0.027
65,-22.647174317795947,False,True,False,73,3.6500000000000004,16.937023162841797,49.6154637165946,2.7680511474609375,CLEAR,13,mixed_failure,16.937023162841797,0.1643835616438356,0.0273972602739726,0.0273972602739726,final_goal_distance=16.937; low_speed_ratio=0.164; in_clear_ratio=0.027; near_conflict_ratio=0.027
66,-23.357946323947402,False,True,False,72,3.6,17.484821319580078,30.923740267176424,3.2019500732421875,APPROACH_DECIDE,13,mixed_failure,17.484821319580078,0.16666666666666666,0.0,0.0,final_goal_distance=17.485; low_speed_ratio=0.167; in_clear_ratio=0.000; near_conflict_ratio=0.000
74,-15.03078067924828,False,True,False,87,4.3500000000000005,10.130146026611328,38.775871734732135,3.11956787109375,APPROACH_DECIDE,13,late_collision_near_goal,10.130146026611328,0.13793103448275862,0.16091954022988506,0.16091954022988506,final_goal_distance=10.130; low_speed_ratio=0.138; in_clear_ratio=0.161; near_conflict_ratio=0.161
75,-22.01781035995432,False,True,False,74,3.7,16.364456176757812,14.811858234748351,2.3326263427734375,CLEAR,13,mixed_failure,16.364456176757812,0.16216216216216217,0.04054054054054054,0.04054054054054054,final_goal_distance=16.364; low_speed_ratio=0.162; in_clear_ratio=0.041; near_conflict_ratio=0.041
77,-23.231173691721633,False,True,False,72,3.6,17.373159408569336,35.76128039418676,3.072021484375,APPROACH_DECIDE,13,mixed_failure,17.373159408569336,0.16666666666666666,0.0,0.0,final_goal_distance=17.373; low_speed_ratio=0.167; in_clear_ratio=0.000; near_conflict_ratio=0.000
78,-22.099389925844317,False,True,False,75,3.75,16.493812561035156,17.3079381968588,2.3875274658203125,CLEAR,13,mixed_failure,16.493812561035156,0.17333333333333334,0.04,0.04,final_goal_distance=16.494; low_speed_ratio=0.173; in_clear_ratio=0.040; near_conflict_ratio=0.040
81,-22.479423694638538,False,True,False,74,3.7,16.802213668823242,32.14018597032754,2.6502304077148438,CLEAR,13,mixed_failure,16.802213668823242,0.17567567567567569,0.02702702702702703,0.02702702702702703,final_goal_distance=16.802; low_speed_ratio=0.176; in_clear_ratio=0.027; near_conflict_ratio=0.027
95,-22.52583368252032,False,True,False,73,3.6500000000000004,16.8277587890625,32.04045729453494,2.7116928100585938,CLEAR,13,mixed_failure,16.8277587890625,0.1643835616438356,0.0273972602739726,0.0273972602739726,final_goal_distance=16.828; low_speed_ratio=0.164; in_clear_ratio=0.027; near_conflict_ratio=0.027
